timestamp,infer,num_obs,stack,seconds
2025-05-14T20:06:49.455065-04:00,SBI,10,both,0.041
2025-05-14T20:07:09.427656-04:00,MCMC,10,jtf,19.927
2025-05-14T20:09:41.400171-04:00,MCMC,10,ftj,151.970
2025-05-14T20:10:49.829255-04:00,SBI,10,both,0.042
2025-05-14T20:11:16.569791-04:00,MCMC,10,jtf,26.695
2025-05-14T20:13:46.884602-04:00,MCMC,10,ftj,150.312
2025-05-14T20:14:28.482942-04:00,SBI,10,both,0.062
2025-05-14T20:14:54.151445-04:00,MCMC,10,jtf,25.614
2025-05-14T20:17:23.672268-04:00,MCMC,10,ftj,149.519
2025-05-14T20:18:39.125292-04:00,SBI,376,both,0.839
2025-05-14T20:19:13.628833-04:00,MCMC,376,jtf,34.387
2025-05-14T20:31:10.466419-04:00,SBI,10,both,0.200
2025-05-14T20:32:13.424275-04:00,MCMC,10,jtf,62.865
2025-05-14T20:38:31.650301-04:00,MCMC,10,ftj,378.220
2025-05-15T01:28:55.149714-04:00,MCMC,376,ftj,4802.576
2025-05-15T01:30:17.599277-04:00,SBI,376,both,0.580
2025-05-15T01:30:40.720071-04:00,MCMC,376,jtf,23.044
2025-05-15T04:27:53.806292-04:00,MCMC,376,ftj,4538.583
2025-05-15T04:32:16.553178-04:00,SBI,376,both,0.580
2025-05-15T04:32:34.735790-04:00,MCMC,376,jtf,18.086
2025-05-15T06:38:49.786497-04:00,MCMC,376,ftj,4257.476
2025-05-15T06:55:37.849178-04:00,SBI,376,both,0.571
2025-05-15T06:55:56.159278-04:00,MCMC,376,jtf,18.243
2025-05-15T09:19:46.255532-04:00,MCMC,376,ftj,4352.804
2025-05-15T09:21:06.003477-04:00,SBI,376,both,0.662
2025-05-15T09:21:28.239754-04:00,MCMC,376,jtf,22.132
2025-05-15T11:51:05.087017-04:00,MCMC,376,ftj,4365.415
2025-05-15T15:00:09.114781-04:00,SBI,11,both,0.071
2025-05-15T15:00:26.698979-04:00,MCMC,11,jtf,17.524
2025-05-15T15:02:09.709823-04:00,SBI,11,both,0.045
2025-05-15T15:02:27.057890-04:00,MCMC,11,jtf,17.298
2025-05-15T15:04:10.465166-04:00,MCMC,11,ftj,103.407
2025-05-15T17:07:06.545654-04:00,SBI,10,both,0.176
2025-05-15T17:13:07.973115-04:00,SBI,10,both,0.132
2025-05-15T17:19:34.931184-04:00,SBI,10,both,0.148
2025-05-15T17:21:54.162306-04:00,SBI,10,both,0.137
2025-05-15T17:32:16.973244-04:00,SBI,10,both,0.148
2025-05-15T17:32:54.721420-04:00,SBI,10,both,0.163
2025-05-15T17:34:13.125991-04:00,SBI,10,both,0.168
2025-05-15T17:34:50.986568-04:00,SBI,10,both,0.148
2025-05-15T17:37:17.864001-04:00,SBI,10,both,0.151
