timestamp,stage,sim_id,infer_id,obs_id,num_sims,num_obs,details,seconds,status
2025-11-11T13:58:54,gen_posterior,sim_z1,infer_z1,,10000,50,existing posterior,0.000027,skipped
2025-11-11T13:59:00,run_inference_total,sim_z1,infer_z1,obs_z1_lambda5,10000,50,existing inference,0.000031,skipped
2025-11-11T13:59:06,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,50,existing plots,0.004770,skipped
2025-11-11T13:59:15,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,3.721622,success
2025-11-11T14:03:11,plot_calibration,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,230.299261,success
2025-11-11T14:03:18,gen_simulations,sim_z1,,,10000,376,existing simulations,0.000029,skipped
2025-11-11T14:03:24,gen_observations,,,obs_z1_lambda5,,376,existing observations,0.000025,skipped
2025-11-11T14:03:30,gen_posterior,sim_z1,infer_z1,,10000,376,existing posterior,0.000283,skipped
2025-11-11T14:03:35,run_inference_total,sim_z1,infer_z1,obs_z1_lambda5,10000,376,existing inference,0.000031,skipped
2025-11-11T14:03:41,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,376,existing plots,0.006011,skipped
2025-11-11T14:03:51,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,4.828642,success
2025-11-11T14:31:59,plot_calibration,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,1682.139407,success
2025-11-11T14:54:44,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,50,existing plots,0.004608,skipped
2025-11-11T14:54:54,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,50,,3.764801,success
2025-11-11T14:55:01,plot_chains,sim_z1,infer_z1,obs_z1_lambda5,10000,376,existing plots,0.004066,skipped
2025-11-11T14:55:12,plot_diagnostics,sim_z1,infer_z1,obs_z1_lambda5,10000,376,,4.485851,success
